Blog	following	worth	personal	earlier	act	anyway	loud	starting	bill	apart	woman	son	history	shot	feet	main	musical	missing	performance	however	friday	pick	mostly	guys	opening	recently	dog	phone	tom	present	punk	title	quality	yesterday	film	view	energy	saying	turns	caught	evening	stuck	type	y	means	london	social	river	singing	due	beyond	possible	seemed	funny	reading	brothers	usually	wonderful	f	itself	albums	share	dancing	needed	tomorrow	key	bed	understand	fresh	fans	wall	asked	aren	built	alive	lead	l	tried	popular	saturday	electric	heads	seeing	bright	large	happened	mountain	noise	company	august	wrote	joy	wind	theme	throughout	create	previous	awesome	themselves	classic	nights	lights	starts	bear	brown	english	june	wants	festival	hits	flying	perhaps	recent	lady	towards	himself	weird	september	important	public	add	birthday	changed	closer	fit	huge	poor	meet	father	hair	quickly	solo	g	current	sex	smith	tree	brought	meant	photo	happen	stories	copy	college	van	building	clean	quick	internet	george	parts	seven	leaving	fair	sister	fight	robert	shit	spend	greatest	added	magic	ghost	truly	jack	dreams	holding	heaven	plays	pay	crowd	bottom	learn	problem	april	date	kept	ep	audience	continue	ends	ain	floor	thoughts	station	human	tune	certain	business	collection	longer	review	various	golden	despite	question	action	plan	animal	totally	giving	food	reasons	system	peter	february	snow	brother	july	debut	season	pieces	lucky	catch	nature	scott	ended	camera	fuck	hill	million	acoustic	co	december	hall	buy	memories	worked	voices	usual	features	members	christmas	v	smile	indie	lack	non	using	fantastic	round	october	spirit	letter	keeping	missed	link	secret	putting	enjoyed	studio	steve	total	older	gives	billy	falling	eventually	amount	definitely	soft	driving	serious	simply	era	met	entire	joe	imagine	liked	ice	streets	inspired	concert	tired	beauty	color	speak	jones	women	pure	choice	series	november	jam	america	michael	likely	nobody	setting	peace	folk	cry	difficult	possibly	section	w	doubt	grow	drums	island	material	names	cross	south	certainly	picked	mid	underground	mike	normal	queen	hoping	seriously	paper	drop	grand	although	afternoon	miles	hopefully	figure	surprise	cd	moments	ok	general	matt	lonely	hotel	whether	slightly	area	edge	pass	land	process	safe	easily	vocals	pictures	north	leaves	holiday	press	weather	spot	bird	led	anymore	fell	example	vs	lee	nowhere	guitars	covers	ray	particular	calling	hi	similar	store	nick	rare	wine	drum	minor	recorded	string	brain	sign	featured	nearly	recording	biggest	onto	expect	wanna	hop	tears	richard	everybody	mention	service	learned	tiny	among	happens	female	level	featuring	mood	information	standing	ground	bass	pre	breaking	damn	perfectly	opportunity	apparently	weren	drugs	brian	brings	coast	rough	event	arms	lake	burning	brand	size	highly	books	empty	beats	jazz	rose	ball	ii	several	except	orange	table	interview	january	answer	regular	ideas	surprised	east	rolling	odd	included	career	began	trouble	begin	smart	ryan	interest	somehow	sitting	absolutely	planet	incredible	points	growing	bunch	natural	eat	chris	glad	glass	society	california	hearts	dirty	mouth	production	label	excellent	ocean	fourth	period	hurt	kiss	attack	burn	dropped	member	support	uk	frank	rhythm	obvious	hearing	focus	sonic	garage	honest	movement	build	hip	became	dave	followed	hang	promise	image	turning	site	cannot	los	managed	finished	finding
Web Science and Digital Libraries Research Group	133	15	82	29	13	3	0	23	8	5	10	1	60	6	0	59	1	30	31	54	16	7	17	2	22	24	1	8	9	72	0	58	53	2	3	53	9	19	5	4	14	1	138	7	44	14	147	3	2	42	18	40	3	5	21	1	9	9	59	25	0	28	5	34	5	54	0	29	4	15	3	54	7	32	24	23	123	10	43	8	1	2	17	4	61	7	3	4	23	16	13	1	1	13	7	72	50	14	19	3	1	1	11	0	2	24	39	2	0	3	0	12	52	1	14	4	0	34	59	93	35	3	39	4	5	6	1	22	2	1	10	0	145	108	4	35	9	10	4	19	8	43	45	31	34	63	7	15	208	28	14	12	3	27	1	4	15	0	7	2	25	7	1	4	2	1	4	1	4	12	27	11	25	94	189	133	6	0	56	20	4	0	6	8	6	44	0	14	24	103	39	36	114	0	8	62	11	14	1	4	14	3	12	147	19	22	4	1	38	0	35	5	5	4	16	35	29	4	0	4	24	0	129	14	7	2	11	19	1	9	43	45	0	22	1	0	10	36	310	7	12	23	9	4	17	17	202	7	4	11	1	0	29	3	31	0	1	11	24	6	5	3	3	15	6	20	30	0	5	6	9	0	24	0	1	3	18	8	19	174	2	10	43	20	2	8	160	21	2	7	5	1	1	24	8	26	42	0	9	0	2	29	15	14	4	5	8	2	7	5	3	0	3	2	231	8	4	46	13	3	3	93	1	12	6	23	49	8	2	14	19	5	36	16	11	2	70	11	22	0	12	13	4	1	18	17	2	0	12	0	1	184	28	13	1	0	5	3	26	15	0	48	39	6	6	0	0	5	23	26	3	11	5	10	14	4	4	10	0	0	0	7	3	11	103	25	1	31	9	5	69	3	2	200	5	10	0	18	5	1	3	25	5	2	1	6	7	0	0	64	2	2	0	0	31	13	44	8	0	0	2	4	6	61	5	1	46	13	22	46	18	35	6	2	0	3	48	58	36	5	14	8	4	36	0	1	0	0	6	18	5	0	11	2	7	5	3	24	8	1	0	0	8	35	13	0	13	14	0	0	3	1	4	13	101	55	9	0	5	24	38	0	2	1	7	47	0	9	4	67	0	1	78	6	92	25	16	9	13	33
Steel City Rust	5	9	5	3	4	3	5	2	2	2	5	4	6	13	8	6	3	3	4	10	5	6	3	6	2	10	1	2	7	5	18	9	6	5	4	5	11	2	6	7	2	3	4	9	7	0	2	7	1	4	3	5	5	6	12	6	1	9	1	9	11	1	3	2	1	10	1	6	2	10	6	4	6	6	2	14	2	2	2	3	6	5	6	3	7	12	4	4	7	4	4	0	2	3	0	2	7	6	4	25	3	4	8	2	1	0	1	6	1	3	2	5	3	3	4	3	9	1	10	3	2	5	4	4	8	5	1	1	0	4	0	7	6	10	3	0	1	3	2	24	5	4	17	9	2	5	0	3	2	4	6	5	4	3	3	1	8	4	2	5	2	1	3	10	5	2	2	4	3	1	5	3	4	8	2	3	3	3	1	2	4	2	0	4	10	6	3	8	5	5	6	3	2	6	19	5	7	2	2	2	2	3	2	4	1	0	6	0	1	9	1	0	1	6	1	2	6	10	7	1	2	2	3	1	1	0	0	5	15	2	3	1	7	1	2	4	5	6	8	4	1	2	0	1	3	3	6	3	4	4	4	1	3	2	3	4	2	4	2	6	5	14	12	10	8	0	4	6	5	25	2	4	1	1	2	0	5	1	0	4	1	2	15	1	3	4	0	6	6	2	2	4	1	2	10	2	0	2	1	3	2	10	2	2	18	13	5	1	0	4	5	3	5	10	4	2	1	12	2	4	0	0	11	9	2	5	8	11	2	0	6	4	7	3	2	0	0	2	5	11	5	4	1	9	2	3	15	4	5	2	3	9	2	0	2	3	1	7	8	1	1	11	8	7	2	1	1	3	7	0	3	8	4	2	0	2	2	6	4	2	1	2	3	3	10	5	0	4	0	1	2	2	4	2	2	2	3	2	3	6	9	3	14	2	0	6	6	4	3	1	4	7	1	4	8	1	5	4	2	1	2	5	3	1	8	4	0	1	2	6	4	1	3	16	3	2	5	4	11	8	4	3	0	4	13	4	1	3	0	2	0	1	2	3	1	7	2	2	1	0	0	1	5	9	2	1	2	0	1	1	2	0	3	2	1	3	4	4	0	1	0	2	1	2	2	2	0	1	12	3	4	0	4	2	6	1	0	6	2	2
MR. BEAUTIFUL TRASH ART	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
60@60 Sounding Booth	2	1	3	1	0	1	2	1	1	1	19	7	2	3	0	5	2	2	2	1	3	2	11	2	1	4	7	0	22	3	6	1	1	15	1	2	1	2	4	2	3	2	0	4	3	5	6	12	0	1	0	0	0	2	6	34	1	14	2	0	113	2	9	3	10	0	0	0	5	0	0	1	0	3	4	5	3	0	7	3	20	24	0	8	0	1	15	6	5	3	1	6	14	2	3	2	5	1	0	11	10	7	7	11	25	6	2	3	1	8	5	0	3	6	2	2	5	0	1	0	1	1	3	2	0	0	3	9	1	0	0	1	3	0	2	7	1	0	0	1	6	6	2	0	15	2	3	0	1	8	1	4	0	3	4	4	9	0	1	4	0	20	11	0	4	15	7	12	0	0	4	3	3	0	0	0	3	2	0	0	0	15	4	0	5	9	1	0	2	51	2	0	3	8	0	2	1	1	9	0	2	7	1	7	10	0	4	5	2	2	7	2	2	3	5	3	3	2	0	4	1	3	1	1	13	1	3	0	6	5	1	0	0	2	1	23	1	7	0	4	0	2	15	8	0	1	3	7	1	2	3	15	0	0	0	5	5	1	1	1	6	1	0	0	0	1	0	11	0	5	4	4	0	1	2	3	1	2	20	5	3	1	54	2	8	10	4	0	8	0	5	21	17	0	0	0	0	3	3	2	2	4	0	3	3	5	5	2	14	2	0	7	0	1	4	2	5	4	2	7	0	1	4	0	0	1	1	0	9	9	0	1	5	3	7	5	2	3	0	1	4	7	2	3	0	6	1	8	11	1	3	0	4	15	2	5	3	14	2	1	3	0	2	6	3	10	1	0	0	1	2	6	1	0	0	0	0	0	15	6	5	9	14	1	4	1	2	3	3	1	2	1	0	1	2	3	1	0	1	1	1	0	0	0	2	48	1	4	2	1	5	6	2	8	0	1	5	4	0	2	3	3	8	5	4	2	0	0	0	1	0	0	0	2	28	2	0	1	1	0	1	1	11	0	0	0	0	3	2	0	0	2	2	1	8	0	1	3	12	14	8	6	1	0	0	7	6	1	4	7	5	1	0	0	0	1	7	3	0	0	2	4	2	0	2	0	3	0	13	1	5	0	1	6	0	1	5	0	1	0
ORGANMYTH	0	2	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
MarkEOrtega's Journalism Portfolio	7	12	1	9	3	0	0	1	12	1	0	0	0	0	3	19	4	1	28	1	18	1	1	1	6	5	2	2	6	0	5	0	0	3	3	0	11	3	6	5	4	1	3	1	1	6	3	1	1	6	1	0	2	0	1	3	3	1	3	3	4	3	3	2	0	1	0	0	0	11	0	1	0	2	0	3	2	3	1	32	0	0	7	7	4	2	0	2	0	3	1	0	3	0	6	0	14	10	4	1	8	3	2	0	5	3	6	1	51	3	2	4	0	0	2	3	1	3	2	0	4	0	1	0	5	1	0	3	2	1	4	8	0	0	0	4	0	5	4	0	1	0	1	3	2	1	5	1	0	0	0	0	0	1	1	1	5	2	0	5	5	1	0	3	4	1	0	0	3	0	37	0	0	0	3	10	1	7	0	3	2	0	0	0	0	0	2	0	0	0	1	1	0	0	6	3	2	0	4	0	3	2	1	0	0	4	0	2	1	30	1	0	1	4	0	5	2	0	0	0	3	2	4	5	1	0	4	2	0	2	2	2	0	3	0	14	0	1	0	2	0	7	1	0	1	1	1	2	3	5	10	0	0	1	3	5	1	1	5	5	2	1	1	2	0	4	4	0	0	0	0	0	0	4	1	1	1	1	3	2	1	0	4	15	2	1	1	1	2	2	1	3	4	2	0	1	1	2	1	4	0	6	3	1	5	2	1	4	0	2	1	1	1	1	0	1	0	0	13	1	0	0	6	2	3	0	4	9	0	0	3	2	3	0	0	1	1	0	1	4	0	1	0	1	1	3	3	2	3	2	0	0	1	1	0	2	1	1	0	1	0	0	0	1	2	2	0	1	1	2	1	1	14	7	0	10	3	3	0	10	1	0	0	0	3	0	0	3	0	5	2	7	4	1	0	0	1	3	0	2	2	2	0	6	0	0	10	10	1	3	0	2	0	1	0	4	1	1	3	0	0	0	0	0	0	1	0	24	4	1	2	1	2	3	0	0	5	2	8	0	1	0	3	1	4	1	0	1	0	4	3	3	1	0	1	0	1	0	2	0	1	0	0	2	2	3	4	1	0	1	0	0	4	3	11	10	3	1	0	0	7	3	3	1	1	1	10	1	1	1	0	2	1	1	1	0	27	3	0	1
Green Eggs and Ham Mondays 8-10am	0	0	0	0	0	0	2	1	0	3	2	2	1	0	2	1	2	2	0	0	0	2	0	0	1	0	3	4	5	1	3	1	0	2	0	0	3	1	0	4	2	1	0	6	0	1	10	6	0	1	0	0	2	0	0	4	0	4	1	0	0	3	1	0	5	2	0	0	0	0	2	1	0	0	9	1	6	0	0	2	10	3	0	3	2	0	9	0	4	3	0	5	5	3	1	0	1	0	0	0	6	8	2	8	13	0	12	2	1	0	1	0	0	11	1	0	1	3	1	1	0	9	0	0	0	0	1	3	0	1	0	1	1	0	0	13	4	0	0	0	1	0	5	0	14	1	0	0	1	0	0	3	1	1	2	11	0	0	0	1	0	12	23	1	0	4	2	3	0	1	1	3	3	0	16	1	0	0	0	2	1	1	5	1	7	2	3	1	0	1	0	2	2	21	0	0	3	2	3	0	1	0	1	0	8	2	8	4	12	0	5	2	7	0	1	0	0	1	3	2	0	1	5	3	4	1	3	0	6	0	1	0	0	0	2	2	0	0	0	4	8	8	2	4	0	2	0	5	1	1	4	0	0	1	0	6	4	1	0	0	4	0	0	0	0	1	0	3	0	0	6	3	0	0	7	1	2	0	1	6	3	0	0	4	1	0	2	0	12	0	5	3	1	0	0	1	8	0	4	0	4	0	0	1	1	0	0	0	4	1	3	2	0	0	11	3	8	0	3	3	0	1	0	1	0	2	0	8	3	2	0	0	0	1	2	28	1	2	0	0	2	1	4	7	0	2	0	32	0	1	4	0	6	7	2	1	0	7	1	1	1	0	1	7	0	8	0	3	0	1	0	2	0	0	0	0	0	0	4	6	6	0	4	2	10	2	2	3	0	0	2	0	0	2	1	1	0	0	2	0	0	0	0	0	0	1	0	8	1	2	5	30	7	1	3	0	1	3	0	1	5	3	3	0	0	2	3	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	2	0	0	1	1	0	0	0	0	4	0	1	7	2	0	0	0	0	9	1	0	1	4	8	4	0	0	6	0	1	0	1	0	1	1	0	1	3	0	2	0	3	0	1	3	0	0	1	2	0	0	0	0
turnitup!	0	5	2	4	2	2	9	2	5	4	8	4	1	0	2	2	30	0	3	0	0	4	1	6	2	2	2	1	2	1	3	7	1	1	4	0	1	0	5	0	1	0	0	8	1	0	2	2	4	1	1	2	3	3	0	4	2	3	2	0	16	4	1	1	1	2	0	3	9	0	1	0	1	1	0	1	1	1	5	0	2	2	1	1	0	1	1	4	2	3	1	3	2	27	0	1	0	0	3	19	4	3	6	2	3	1	0	1	0	6	1	3	4	0	1	3	3	6	3	1	1	0	1	1	3	1	2	4	1	0	1	1	0	1	1	6	2	3	0	0	0	0	3	2	3	1	2	3	1	4	2	1	0	0	7	1	2	2	1	2	0	2	2	2	6	1	0	3	3	3	2	12	3	1	0	0	0	2	0	0	3	0	0	1	1	1	10	4	0	2	1	0	2	2	2	3	4	0	1	1	1	2	2	0	2	1	1	2	0	6	3	0	2	6	0	5	0	2	1	2	1	0	0	1	3	1	1	2	4	1	1	0	4	0	3	5	0	1	1	0	1	1	0	1	3	2	2	1	1	0	0	1	1	3	1	2	3	0	0	0	0	2	3	2	15	0	0	0	2	0	0	3	2	0	1	6	1	0	3	3	1	0	3	1	0	0	9	3	4	2	2	7	0	0	0	2	0	1	1	1	5	0	2	4	3	1	1	3	4	3	9	3	0	0	0	5	0	0	2	0	0	4	5	5	2	3	0	4	2	1	0	1	0	2	2	0	0	0	1	5	0	0	1	0	3	0	0	1	1	0	0	2	0	2	3	9	2	3	1	0	2	0	0	4	3	3	2	31	3	1	2	1	0	6	11	2	2	0	2	10	0	3	5	1	3	0	3	0	0	3	0	0	9	0	1	0	4	2	1	5	4	0	0	1	4	2	3	1	3	0	3	1	3	4	28	0	0	2	2	9	0	0	0	2	2	6	18	0	3	3	0	1	1	1	2	0	0	4	1	1	4	10	4	1	4	4	2	0	0	1	0	0	0	0	2	1	1	0	6	2	1	4	1	2	0	5	1	3	0	1	3	2	0	1	0	3	7	6	2	1	1	2	2	1	2	2	11	1	3	2	2	4	0	2	0	2	8	1	0	0
Stories From the City, Stories From the Sea	3	0	2	0	2	1	2	0	1	5	1	11	19	2	1	0	12	3	4	4	16	2	3	12	0	1	3	10	10	4	19	2	0	2	5	2	0	1	2	2	2	2	1	71	1	15	8	7	1	1	2	0	0	0	0	8	0	3	4	2	8	5	16	2	11	2	3	1	13	0	10	1	3	1	3	1	15	0	3	5	14	10	11	3	1	0	7	11	1	11	0	10	5	20	4	2	0	20	3	3	4	24	5	55	9	8	11	3	5	10	4	6	0	13	2	3	6	3	1	2	4	33	4	1	2	1	1	1	4	12	1	4	1	0	38	18	8	3	2	2	5	35	15	4	5	2	1	2	5	6	4	3	12	2	16	4	2	1	0	4	0	31	50	15	5	21	0	27	2	1	0	1	1	1	12	0	0	8	1	3	0	6	6	2	7	2	2	1	10	6	0	1	1	25	9	3	0	1	37	6	4	0	1	2	6	3	15	2	23	2	2	0	9	2	0	3	4	16	6	7	4	2	0	1	19	0	6	0	3	5	0	1	26	6	5	18	0	1	0	5	21	5	10	3	1	6	5	21	2	5	3	9	5	0	1	19	13	0	0	0	6	6	0	4	1	4	1	9	0	1	12	0	4	0	1	4	4	3	4	5	22	0	0	1	1	17	6	3	2	0	3	9	2	1	0	1	4	1	4	21	28	0	2	7	8	3	0	1	8	1	0	50	0	0	14	2	2	3	10	0	1	3	0	6	6	2	2	2	3	9	0	1	1	1	1	18	2	6	5	4	1	11	8	28	0	0	0	35	2	1	1	0	20	11	5	2	1	12	2	4	5	0	1	16	0	6	7	5	3	1	0	1	1	1	2	0	2	2	20	8	7	6	5	1	2	1	2	0	0	7	0	11	10	0	1	5	9	0	2	2	3	0	0	0	3	9	0	20	0	1	8	24	3	1	0	0	2	3	9	1	15	0	10	6	1	14	0	8	0	0	0	3	1	8	13	3	3	1	2	3	5	6	4	0	3	0	11	5	1	2	3	1	4	3	1	8	34	7	23	15	14	3	4	0	11	15	4	1	2	20	11	7	2	0	2	0	8	1	1	2	3	4	3	0	0	1	8	1	2	0	2	4	1	6	0	2	10	0	3	0
A H T A P O T	0	0	0	0	0	0	0	0	2	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	2	1	0	0	1	0	0	0	0	20	0	0	0	2	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	17	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	0	0	0	3	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	1	1	0	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Diagnosis: No Radio	6	5	3	10	7	14	2	5	2	7	15	0	3	8	8	2	10	3	2	1	6	11	13	14	13	4	3	2	15	6	21	12	4	9	9	4	3	18	8	7	8	2	9	18	15	2	11	3	3	8	4	7	9	4	34	5	6	3	0	11	31	4	16	6	24	2	2	6	3	11	7	9	7	10	3	6	1	10	2	16	2	11	4	6	4	5	6	3	5	6	6	7	2	3	10	4	10	10	7	9	0	1	10	8	4	4	2	6	4	3	4	5	9	4	5	6	8	17	2	11	1	1	3	1	6	10	2	3	16	3	8	3	3	11	6	21	3	4	4	3	9	8	9	2	3	6	5	3	5	7	4	6	5	6	10	2	2	4	3	2	3	4	1	2	5	1	3	3	3	3	9	5	6	8	2	2	5	4	10	4	6	2	1	3	2	6	2	15	18	9	9	7	5	0	5	16	5	5	8	12	9	3	7	3	1	0	0	7	8	4	3	4	1	2	10	4	10	4	9	1	3	2	1	0	5	10	2	1	3	3	2	5	3	0	1	8	4	11	6	19	3	11	3	6	4	1	3	4	10	0	1	6	9	3	6	3	2	3	7	1	4	6	2	3	11	3	6	3	21	3	0	3	4	3	2	1	4	1	0	7	1	5	19	0	3	2	6	7	1	2	1	3	1	9	6	2	3	0	1	4	7	6	6	2	0	7	6	3	5	1	7	3	3	5	4	1	4	24	10	0	8	9	2	12	5	2	9	4	1	1	7	6	5	1	4	4	5	1	5	19	16	0	1	1	3	3	4	1	5	1	2	4	14	20	2	9	5	0	13	4	2	4	54	8	3	4	2	5	2	3	8	14	1	13	1	5	10	0	0	5	1	9	3	11	1	2	3	7	9	20	12	0	1	6	1	2	2	7	0	4	4	4	9	5	2	13	15	1	3	4	0	2	2	2	11	3	32	3	2	1	3	6	1	9	5	4	9	8	0	6	5	8	4	5	1	3	5	4	3	3	4	8	0	5	3	7	4	7	2	6	6	11	5	3	1	2	1	1	0	3	3	1	7	4	3	0	2	4	3	2	0	2	3	2	2	2	1	1	4	3	2	5	8	5	4	3	5	4	2	6	1	4	4	4	4	3	0	4	4	6
Floorshime Zipper Boots	0	0	6	1	0	0	0	1	2	0	0	0	1	0	1	0	11	2	4	2	2	0	0	0	0	2	8	0	2	1	34	4	5	0	0	0	5	0	1	0	0	1	1	0	0	1	2	3	0	5	3	0	0	0	0	1	1	5	0	3	5	1	0	0	1	0	1	2	4	1	1	0	0	1	0	0	3	0	1	0	5	1	0	4	1	0	0	15	0	0	0	4	0	1	2	2	2	0	1	8	0	0	0	6	0	4	1	0	0	0	0	1	1	0	5	1	0	2	1	0	1	1	0	1	0	10	2	0	0	0	0	3	0	1	0	3	6	2	0	0	0	7	0	0	0	1	1	0	0	0	5	9	0	0	4	0	1	0	0	0	0	4	0	1	4	0	1	3	0	0	3	0	0	0	3	1	0	122	2	4	0	0	1	1	0	2	1	0	0	7	0	2	10	0	0	0	0	0	1	5	0	0	0	0	2	3	0	0	0	52	2	4	0	0	1	3	0	0	0	0	5	2	0	4	0	90	7	0	1	1	6	1	1	8	0	39	2	0	1	0	4	0	1	0	2	0	139	0	1	0	3	1	1	1	4	14	0	0	2	1	0	1	0	1	3	0	0	1	1	1	5	0	11	2	0	4	9	0	0	1	0	0	11	2	3	2	1	0	0	0	0	17	0	2	0	0	7	1	0	3	0	1	0	1	1	1	0	1	6	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	6	1	1	2	0	0	30	1	10	11	2	1	0	0	4	3	0	0	1	5	2	0	14	0	2	0	0	0	1	0	0	2	0	4	0	4	1	0	0	2	0	5	1	0	1	0	1	1	0	0	0	0	1	0	0	0	3	0	5	1	0	1	0	3	3	0	1	3	0	0	0	0	3	18	1	3	0	0	3	3	1	0	5	0	0	3	4	1	1	5	2	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	4	0	4	0	5	0	2	3	0	0	19	24	0	1	1	1	0	0	0	4	0	0	0	14	1	4	2	0	0	23	5	1	1	3	1	1	1	1	0	0	0	0	0	0	1	0	0	0
